ÉfÅ[É^ÉRÅ[Éh,CO'TK99F1000601GCQ01000,CO'TK99F1000601GCQ01000,CO'TK99F1000601GCQ11000,CO'TK99F2000601GCQ01000,CO'TK99F2000601GCQ11000,CO'TK99F0000601GCQ01000,CO'TK99F0000601GCQ11000,CO'TK99F1000614GCQ01000,CO'TK99F1000614GCQ11000,CO'TK99F0000614GCQ01000,CO'TK99F0000614GCQ11000,CO'TK99F1000615GCQ01000,CO'TK99F1000615GCQ11000,CO'TK99F0000615GCQ01000,CO'TK99F0000615GCQ11000
2006/03,20,20,19,18,17,20,18,-8,-9,-6,-7,34,28,23,19
2006/06,21,21,22,20,19,20,20,-3,-11,-3,-8,41,25,29,19
2006/09,24,24,22,20,21,22,21,2,-3,1,-2,45,31,33,25
2006/12,25,25,21,22,21,23,20,1,-2,0,-1,35,34,25,27
2007/03,23,23,22,22,20,23,20,-1,-2,0,-2,32,26,24,20
2007/06,23,23,20,22,23,22,22,2,-5,1,-4,40,26,32,21
2007/09,23,23,22,20,23,21,22,2,-2,2,0,40,35,33,30
2007/12,19,19,19,16,21,17,20,3,0,4,1,45,35,38,29
2008/03,11,11,15,12,15,12,16,3,2,5,3,50,41,43,37
2008/06,5,5,7,10,13,7,10,10,5,10,6,59,51,50,44
2008/09,-3,-3,4,1,8,0,6,11,14,8,11,55,59,47,50
2008/12,-24,-24,-4,-9,-1,-16,-2,-4,8,-5,4,20,48,17,41
2009/03,-58,-58,-36,-31,-14,-45,-25,-25,-18,-23,-16,-16,-1,-12,1
2009/06,-48,-48,-51,-29,-30,-39,-41,-24,-28,-25,-27,-10,-17,-9,-13
2009/09,-33,-33,-30,-24,-21,-28,-26,-19,-22,-22,-22,0,-3,-1,-2
2009/12,-24,-24,-21,-22,-17,-23,-19,-21,-19,-23,-19,-1,6,-3,4
2010/03,-14,-14,-18,-14,-19,-14,-19,-19,-23,-21,-22,8,6,4,4
2010/06,1,1,-8,-5,-10,-2,-9,-14,-19,-16,-18,14,14,9,8
2010/09,8,8,3,2,-4,5,0,-15,-15,-15,-13,11,20,6,14
2010/12,5,5,-1,1,-2,3,-2,-17,-16,-17,-16,11,14,6,9
2011/03,6,6,-2,3,-1,5,-2,-12,-15,-13,-16,27,15,20,9
2011/06,-9,-9,2,-5,-1,-8,0,-8,-5,-9,-7,28,37,19,28
2011/09,2,2,2,1,-2,1,0,-9,-6,-9,-7,22,27,14,20
2011/12,-4,-4,4,4,1,0,3,-13,-7,-11,-8,12,24,9,17
2012/03,-4,-4,-5,5,0,0,-2,-14,-14,-12,-13,11,11,12,9
2012/06,-1,-1,-3,8,5,3,1,-17,-14,-12,-11,4,16,6,15
2012/09,-3,-3,1,8,6,2,3,-16,-14,-13,-11,2,7,3,8
2012/12,-12,-12,-3,4,5,-3,1,-18,-15,-15,-13,-1,5,1,5
2013/03,-8,-8,-10,6,3,-1,-3,-10,-15,-9,-13,15,3,15,5
2013/06,4,4,-1,12,9,8,4,-4,-5,-3,-4,24,22,20,20
2013/09,12,12,10,14,12,13,11,-2,-1,0,0,22,24,21,23
2013/12,16,16,11,20,14,18,13,-4,-3,-1,-1,21,22,21,22
2014/03,17,17,14,24,17,21,16,-3,-3,2,0,22,20,23,21
2014/06,12,12,8,19,13,16,11,-2,-3,3,1,20,22,21,23
2014/09,13,13,15,13,19,13,17,-4,-2,1,2,17,19,19,20
2014/12,12,12,13,16,14,14,14,-3,-4,0,0,19,18,20,19
2015/03,12,12,9,19,15,16,12,-6,-3,0,1,11,21,14,22
2015/06,15,15,10,23,17,19,14,-4,-5,1,0,14,15,16,18
2015/09,12,12,16,25,21,19,18,-7,-3,-1,1,4,16,8,20
2015/12,12,12,10,25,19,18,14,-11,-8,-4,-3,-2,6,3,9
2016/03,6,6,7,22,18,13,13,-15,-11,-7,-5,-8,3,-2,7
2016/06,6,6,3,19,17,12,11,-12,-13,-6,-7,-2,-1,3,5
2016/09,6,6,6,18,17,12,12,-10,-9,-6,-4,-4,4,1,8
2016/12,10,10,6,18,16,14,11,-7,-10,-3,-6,3,2,7,5
2017/03,12,12,8,20,16,16,13,-3,-6,0,-3,16,9,15,11
2017/06,17,17,11,23,16,20,14,-1,-2,2,0,13,16,12,15
2017/09,22,22,15,23,18,23,16,0,-2,2,0,14,13,14,13
2017/12,25,25,19,23,19,25,19,1,-2,2,0,18,13,17,14
2018/03,24,24,19,23,20,23,19,4,0,4,1,26,18,22,16
2018/06,21,21,20,24,20,22,20,5,4,5,4,30,22,24,19
2018/09,19,19,21,22,21,21,21,7,5,7,4,27,24,23,21
2018/12,19,19,19,24,22,21,20,6,3,7,4,24,23,22,21
2019/03,12,12,15,21,20,17,18,1,1,4,4,17,20,16,19
2019/06,7,7,8,23,20,15,14,-2,-2,2,2,11,16,13,17
2019/09,5,5,7,21,17,13,12,-4,-4,0,1,5,13,8,15
2019/12,0,0,2,20,15,9,8,-6,-5,0,-1,6,9,8,12
2020/03,-8,-8,0,8,18,0,8,-7,-8,-3,-2,5,8,8,10
2020/06,-34,-34,-11,-17,-1,-26,-6,-10,-10,-7,-4,-3,7,-1,9
2020/09,-27,-27,-27,-12,-14,-21,-21,-8,-8,-6,-6,2,2,2,4
2020/12,-10,-10,-17,-5,-11,-8,-14,-6,-8,-5,-5,5,6,4,6
2021/03,5,5,-8,-1,-6,2,-7,-2,-7,-2,-5,15,11,13,9
2021/06,14,14,4,1,-1,8,2,4,-2,3,0,29,18,21,15
2021/09,18,18,13,2,3,10,8,10,5,8,5,37,27,28,22
2021/12,18,18,14,9,3,14,9,16,10,14,8,49,34,38,27
2022/03,14,14,13,9,8,11,11,24,17,20,13,58,43,47,35
2022/06,9,9,9,13,7,11,8,34,27,26,22,65,55,55,47
2022/09,8,8,10,14,13,11,11,36,35,31,29,65,59,59,53
2022/12,7,7,9,19,11,13,11,41,38,35,33,66,59,60,54
2023/03,1,1,6,20,11,10,8,37,34,33,31,60,56,55,53
2023/06,5,5,3,23,15,13,9,34,34,31,31,52,52,48,48
2023/09,9,9,9,27,20,17,14,32,29,30,27,48,44,46,43
2023/12,12,12,10,30,21,21,16,26,26,26,26,43,42,41,42
2024/03,11,11,8,34,24,22,16,25,20,26,24,42,38,43,41
2024/06,13,13,10,33,27,22,19,29,24,29,27,47,41,47,41
2024/09,13,13,14,34,27,23,20,26,27,27,28,41,44,43,45
2024/12,14,14,14,33,28,23,21,25,26,27,27,39,39,42,42
2025/03,12,12,13,35,28,23,20,28,24,30,27,41,37,44,40
2025/06,13,13,12,34,28,23,20,25,30,29,32,39,43,41,45
2025/09,14,14,12,34,27,24,20,24,27,26,28,38,39,40,42
2025/12,15,15,12,34,28,24,21,25,25,28,29,40,39,42,42
2026/03,17,17,15,36,28,27,21,28,26,30,29,46,43,47,44
2026/06,,,14,,29,,21,,33,,36,,52,,52
2026/09,,,,,,,,,,,,,,,
2026/12,,,,,,,,,,,,,,,
